level_id	prereq	image	sound	arabic
		insect.png	7asharah	حشرة
		island.png	jazeerah	جزيرة
		juice.png	3aseer	عصير
		key.png	muftaa7	مفتاح
		kiss.png	qublah	قبلة
		kiwi.png	kiwi	كيوي
		knife.png	sikkeen	سكين
		koala.png	koala	كوالا
		laptop.png	laptop	لابتوب
		leaf.png	waraqah	ورقة
		lemon.png	laymoon	ليمون
		letter.png	khitaab	خطاب
		lightbulb.png	lambah	لمبة
		lightning.png	barq	برق
		lion.png	asad	أسد
		lizard.png	si7liyyah	سحلية
		lock.png	qifl	قفل
		lollipop.png	massaasah	مصاصة
		magnifyingglass.png	3adasah	عدسة
		man.png	rajul	رجل
		map.png	khareetah	خريطة
		medicine.png	dawaa2	دواء
		microscope.png	microscope	ميكروسكوب
		milk.png	laban	لبن
		mobile.png	haatif-ma7mool	هاتف محمول
		money.png	nuqood	نقود
		monkey.png	qird	قرد
		moon.png	qamar	قمر
		mountain.png	jabal	جبل
		mouse.png	fa2r	فأر
		mouth.png	fam	فم
		mushroom.png	3aish-al-ghuraab	عيش الغراب
		music.png	museeqa	موسيقا
		newspaper.png	jareedah	جريدة
		nose.png	anf	أنف
		octopus.png	okhtuboot	أخطبوط
		owl.png	boomah	بومة
		palmtree.png	nakhlah	نخلة
		panda.png	panda	باندا
		pants.png	bintaal	بنطال
		peach.png	khokh	خوخ
		peanuts.png	fuul-soodany	فول سوداني
		pear.png	kummithra	كمثرى
		pen.png	qalam	قلم
		pencil.png	qalam-rusaas	قلم رصاص
		penguin.png	batreeq	بطريق
		phone.png	haatif	هاتف
		piano.png	piano	بيانو
		pig.png	khanzeer	خنزير
		pineapple.png	ananaas	أناناس
		pizza.png	pizza	بيتزا
		plant.png	nabaat	نبات
		policeman.png	rajul-shurtah	رجل شرطة
		popcorn.png	fishaar	فيشار
		potato.png	bataates	بطاطس
		princess.png	ameerah	أميرة
		rabbit.png	arnab	أرنب
		rain.png	matar	مطر
		rainbow.png	qaws-quza7	قوس قزح
		red.png	a7mar	أحمر
		rice.png	urz	أرز
		road.png	tareeq	طريق
		rocket.png	sarookh	صاروخ
		run.png	jary	جري
		sandwich.png	sandwich	ساندويتش
		scales.png	meezaan	ميزان
		school.png	madrasah	مدرسة
		scissors.png	maqass	مقص
		scooter.png	scooter	سكوتر
		scorpion.png	3aqrab	عقرب
		sheep.png	kharoof	خروف
		ship.png	safeenah	سفينة
		shirt.png	qamees	قميص
		shoe.png	7idhaa2	حذاء
		shop.png	matjar	متجر
		shrimp.png	jambary	جمبري
		snail.png	7alazon	حلزون
		snake.png	thu3baan	ثعبان
		snow.png	thalj	ثلج
		soup.png	7isaa2	حساء
		speak.png	kalaam	كلام
		spider.png	3ankaboot	عنكبوت
		spoon.png	mil3aqah	ملعقة
		square.png	murabba3	مربع
		squirrel.png	sinjaab	سنجاب
		star.png	najmah	نجمة
		strawberry.png	faraawlah	فراولة
		sun.png	shams	شمس
		sushi.png	sushi	سوشي
		sweetpotato.png	bataatah	بطاطا
		swim.png	sibaa7ah	سباحة
		syringe.png	7uqnah	حقنة
		taxi.png	taxi	تاكسي
		tea.png	shaay	شاي
		telescope.png	telescope	تلسكوب
		tent.png	khaymah	خيمة
		this.png	haadha	هذا
		ticket.png	tadhkarah	تذكرة
		tiger.png	nimr	نمر
		toilet.png	mir7aad	مرحاض
		tomato.png	tamaatim	طماطم
		tongue.png	lisaan	لسان
		tractor.png	jarraar	جرار
		trafficlight.png	isharat-muroor	إشارة مرور
		train.png	qitaar	قطار
		tree.png	shajarah	شجرة
		triangle.png	muthallath	مثلث
		truck.png	shaa7inah	شاحنة
		tshirt.png	t-shirt	تي شيرت
		turkey.png	deek-roomy	ديك رومي
		turtle.png	sul7ufaah	سلحفاة
		umbrella.png	middhallah	مظلة
		volcano.png	burkaan	بركان
		walk.png	mashy	مشي
		watch.png	saa3at-yadd	ساعة يد
		water.png	miyaah	مياه
		watermelon.png	batteekh	بطيخ
		whale.png	7oot	حوت
		white.png	abyad	أبيض
		wolf.png	dhi2b	ذئب
		woman.png	imra2ah	امرأة
		worker.png	3aamil	عامل
		write.png	kitaabah	كتابة
		laugh.png	da7ik	ضحك
		love.png	7ubb	حب
		think.png	tafkeer	تفكير
		fear.png	khawf	خوف
		sleep.png	nawm	نوم
		sad.png	7uzn	حزن
		tired.png	ta3ab	تعب
		angry.png	ghadab	غضب
		danger.png	khatar	خطر
		ghost.png	shaba7	شبح
		fox.png	tha3lab	ثعلب
		ox.png	thawr	ثور
		deer.png	dhaby	ظبي
		rhino.png	wa7eed-al-qarn	وحيد القرن
		donkey.png	7imaar	حمار
		luck.png	7adhdh	حظ
		play.png	la3ib	لعب
		shadow.png	dhill	ظل
		strong.png	qowwah	قوة
		victory.png	nasr	نصر
